nohup: ignoring input
System check identified some issues:

WARNINGS:
?: (debug_toolbar.W007) JavaScript files are resolving to the wrong content type.
	HINT: The Django Debug Toolbar may not load properly while mimetypes are misconfigured. See the Django documentation for an explanation of why this occurs.
https://docs.djangoproject.com/en/stable/ref/contrib/staticfiles/#static-file-development-view

This typically occurs on Windows machines. The suggested solution is to modify HKEY_CLASSES_ROOT in the registry to specify the content type for JavaScript files.

[HKEY_CLASSES_ROOT\.js]
"Content Type"="application/javascript"
[2026-05-12 17:52:43,179] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC000420
[2026-05-12 17:52:43,519] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: 5.18기념문화센터 (FC000420)
[2026-05-12 17:52:43,520] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC002702
[2026-05-12 17:52:43,866] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: 57th gallery(57갤러리) (FC002702)
[2026-05-12 17:52:43,866] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC000797
[2026-05-12 17:52:44,224] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: 63아트홀 (FC000797)
[2026-05-12 17:52:44,224] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC001909
[2026-05-12 17:52:44,582] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: 63컨벤션센터 (FC001909)
[2026-05-12 17:52:44,582] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC001547
[2026-05-12 17:52:44,948] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: 640아트타워 (FC001547)
[2026-05-12 17:52:44,949] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC004104
[2026-05-12 17:52:45,293] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: ACS.KR (FC004104)
[2026-05-12 17:52:45,293] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003481
[2026-05-12 17:52:45,645] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: ACT 호텔 스카이 홀 (FC003481)
[2026-05-12 17:52:45,645] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003217
[2026-05-12 17:52:45,988] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: ADM갤러리 (FC003217)
[2026-05-12 17:52:45,988] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003729
[2026-05-12 17:52:46,324] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: AG아트홀 [청주] (FC003729)
[2026-05-12 17:52:46,324] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC004325
[2026-05-12 17:52:46,666] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: AK플라자 [분당] (FC004325)
[2026-05-12 17:52:46,666] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003487
[2026-05-12 17:52:47,010] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: AK플라자 [수원] (FC003487)
